                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.1526,                0.85165,                 1.2156,                0.75618,                0.69768,                0.75306,                  0.444,                 1.4299,                 1.0753,                 1.4188,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.1501,                0.84056,                 1.2146,                0.75594,                0.69871,                0.75284,                0.44408,                 1.4302,                 1.0747,                 1.4192,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.1489,                0.84414,                 1.2137,                0.75615,                0.69929,                0.75303,                 0.4442,                   1.43,                 1.0749,                 1.4193,               0.007921,               0.007921,               0.007921
                    107,                  1.148,                0.85598,                 1.2178,                0.75759,                0.69921,                0.75303,                0.44393,                 1.4306,                 1.0744,                 1.4198,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.1447,                0.84531,                 1.2149,                0.75643,                0.69868,                0.75219,                0.44401,                 1.4309,                 1.0749,                 1.4201,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.1395,                0.83456,                 1.2095,                0.75682,                0.69896,                0.75219,                0.44395,                 1.4308,                 1.0746,                   1.42,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.1441,                0.83799,                 1.2094,                0.75632,                0.69838,                 0.7518,                0.44383,                 1.4311,                 1.0737,                 1.4203,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.1393,                0.83653,                 1.2075,                0.75343,                0.69847,                0.75149,                0.44408,                 1.4308,                 1.0738,                 1.4204,               0.007822,               0.007822,               0.007822
                    112,                 1.1467,                0.83448,                 1.2061,                0.75129,                0.69934,                0.75138,                0.44449,                 1.4307,                 1.0733,                 1.4203,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.1317,                0.83273,                 1.1999,                0.75092,                0.69995,                0.75114,                0.44443,                 1.4307,                 1.0729,                 1.4201,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.1373,                0.83554,                 1.2061,                0.75002,                0.69879,                0.75016,                0.44426,                 1.4307,                 1.0726,                 1.4198,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.1326,                0.83605,                 1.1986,                0.75025,                0.69928,                 0.7504,                0.44444,                 1.4298,                 1.0725,                 1.4193,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.1319,                0.82617,                 1.2024,                0.74829,                0.69983,                0.75007,                0.44411,                 1.4298,                 1.0719,                 1.4193,               0.007723,               0.007723,               0.007723
                    117,                 1.1283,                 0.8285,                 1.1988,                0.74921,                 0.7008,                0.74967,                0.44459,                 1.4296,                 1.0711,                 1.4191,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.1325,                0.82655,                 1.2014,                0.75015,                    0.7,                 0.7497,                0.44474,                 1.4296,                 1.0706,                 1.4189,              0.0076834,              0.0076834,              0.0076834
                    119,                  1.133,                0.83308,                 1.2023,                0.75007,                0.69917,                0.74934,                0.44462,                 1.4296,                 1.0704,                 1.4189,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.1319,                 0.8241,                 1.1996,                0.75312,                0.69754,                0.74904,                 0.4448,                  1.429,                 1.0699,                 1.4186,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.1241,                0.81777,                 1.1977,                0.75407,                0.69831,                0.74946,                0.44481,                  1.429,                 1.0698,                  1.419,               0.007624,               0.007624,               0.007624
                    122,                 1.1177,                0.81477,                  1.192,                0.75165,                0.69989,                0.74939,                0.44466,                 1.4288,                 1.0693,                 1.4191,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.1197,                0.81219,                 1.1914,                0.75228,                0.69934,                0.74936,                0.44443,                 1.4288,                 1.0692,                 1.4195,              0.0075844,              0.0075844,              0.0075844
                    124,                  1.112,                0.80903,                 1.1925,                0.75471,                0.69863,                0.74983,                0.44475,                 1.4284,                 1.0683,                 1.4197,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.1156,                0.80335,                 1.1877,                0.75154,                0.70203,                0.75015,                0.44449,                 1.4286,                  1.068,                 1.4198,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.1166,                0.80915,                 1.1893,                0.75103,                0.70239,                 0.7498,                0.44454,                 1.4284,                 1.0679,                 1.4194,               0.007525,               0.007525,               0.007525
                    127,                 1.1143,                0.81107,                 1.1886,                0.75243,                0.70271,                0.75006,                0.44433,                 1.4282,                  1.068,                  1.419,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.1109,                0.80314,                 1.1874,                0.75187,                0.70304,                0.75012,                0.44456,                 1.4282,                 1.0679,                 1.4189,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.1141,                0.80908,                 1.1893,                0.75305,                0.70304,                 0.7508,                0.44471,                 1.4281,                 1.0674,                 1.4187,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.1112,                0.79964,                 1.1876,                0.75284,                0.70377,                 0.7509,                0.44511,                 1.4279,                 1.0673,                 1.4185,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.1056,                0.80184,                 1.1877,                 0.7528,                0.70384,                0.75081,                0.44482,                 1.4277,                 1.0674,                 1.4184,               0.007426,               0.007426,               0.007426
                    132,                 1.1115,                0.79145,                 1.1819,                0.75463,                 0.7002,                0.75108,                0.44521,                 1.4279,                 1.0667,                 1.4186,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.1081,                0.80092,                 1.1844,                0.75381,                0.70029,                0.75027,                0.44531,                 1.4285,                 1.0659,                 1.4193,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.1048,                0.79282,                 1.1855,                0.75518,                0.70007,                0.75106,                0.44544,                 1.4288,                 1.0659,                 1.4201,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.1024,                0.78713,                 1.1797,                0.75671,                0.69947,                 0.7512,                0.44561,                 1.4293,                 1.0655,                 1.4205,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.1011,                0.79134,                 1.1867,                0.75777,                 0.6994,                0.75168,                0.44552,                 1.4299,                 1.0652,                 1.4212,               0.007327,               0.007327,               0.007327
                    137,                 1.0985,                0.79057,                 1.1783,                 0.7571,                0.70036,                0.75173,                 0.4456,                 1.4304,                 1.0654,                 1.4216,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.0974,                 0.7928,                 1.1801,                0.75452,                0.70405,                0.75152,                0.44551,                 1.4305,                 1.0654,                 1.4217,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.0977,                 0.7853,                 1.1762,                0.75578,                0.70245,                0.75143,                 0.4453,                  1.431,                 1.0659,                 1.4218,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.0968,                0.79073,                 1.1773,                0.75416,                0.70187,                0.75088,                0.44541,                 1.4321,                 1.0661,                 1.4227,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.0953,                0.78495,                 1.1769,                0.75511,                0.70063,                0.75051,                 0.4451,                 1.4327,                 1.0663,                 1.4234,               0.007228,               0.007228,               0.007228
                    142,                 1.0879,                0.77956,                 1.1733,                0.75438,                0.70125,                0.75019,                0.44513,                 1.4334,                  1.066,                 1.4237,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.0922,                0.77707,                 1.1713,                0.75707,                0.69926,                0.74997,                0.44484,                 1.4341,                 1.0662,                 1.4242,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.0884,                0.77311,                 1.1734,                0.75807,                0.69886,                0.74997,                0.44538,                 1.4346,                 1.0669,                 1.4247,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.0878,                0.77386,                 1.1755,                0.75472,                0.70305,                0.75032,                 0.4451,                 1.4343,                 1.0673,                 1.4247,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.0853,                 0.7823,                  1.173,                0.75432,                0.70373,                0.75068,                0.44493,                 1.4348,                 1.0678,                 1.4252,               0.007129,               0.007129,               0.007129
                    147,                 1.0787,                0.77087,                 1.1707,                0.75413,                0.70356,                0.75068,                0.44493,                 1.4351,                 1.0681,                 1.4257,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.0825,                 0.7746,                  1.172,                0.75893,                0.70117,                0.75085,                0.44535,                 1.4354,                 1.0678,                 1.4261,              0.0070894,              0.0070894,              0.0070894
                    149,                 1.0817,                 0.7678,                 1.1653,                0.76198,                0.69653,                0.75089,                0.44518,                 1.4362,                 1.0679,                 1.4268,              0.0070696,              0.0070696,              0.0070696
